absurd   absurdalny
corresponding   odpowiadający
corrupt   skorumpowany
corruption   korupcja
costly   kosztowny
councillor   radny
counselling   doradztwo
counsellor   doradca
countless   niezliczony
coup   zamach stanu
courtesy   uprzejmość
craft   rzemiosło
crawl   pełzać
creator   twórca
credibility   wiarygodność
credible   wiarygodny
creep   pełzać
critique   krytyka
crown   korona
crude   surowy
crush   zmiażdżyć
crystal   kryształ
cult   kult
cultivate   uprawiać
curiosity   ciekawość
custody   opieka
cutting   cięcie
cynical   cyniczny
dam   tama
damaging   szkodliwy
dawn   świt
debut   debiut
decision-making   podejmowanie decyzji
decisive   decydujący
declaration   deklaracja
dedicated   oddany
dedication   oddanie
deed   czyn
deem   uważać
default   domyślny
defect   wada
defensive   obronny
deficiency   niedobór
deficit   deficyt
defy   przeciwstawiać się
delegate   delegować
delegation   delegacja
delicate   delikatny
demon   demon
denial   zaprzeczenie
denounce   potępiać
dense   gęsty
density   gęstość
dependence   zależność
deploy   rozmieszczać
deployment   rozmieszczenie
deposit   kaucja
deprive   pozbawiać
deputy   zastępca
descend   schodzić
descent   zejście
designate   wyznaczać
desirable   pożądany
desktop   pulpit
destructive   destrukcyjny
detain   zatrzymać
detection   wykrywanie
detention   areszt
deteriorate   pogarszać się
devastate   niszczyć
devil   diabeł
devise   wymyślić
diagnose   diagnozować
diagnosis   diagnoza
dictate   dyktować
dictator   dyktator
differentiate   różnicować
dilemma   dylemat
dimension   wymiar
diminish   zmniejszać się
dip   zanurzyć
diplomat   dyplomata
diplomatic   dyplomatyczny
directory   katalog
disastrous   katastrofalny
discard   odrzucać
discharge   wyładowanie
disclose   ujawniać
disclosure   ujawnienie
discourse   dyskurs
discretion   dyskrecja
discrimination   dyskryminacja
dismissal   zwolnienie
displace   przemieszczać
disposal   usuwanie
dispose   pozbywać się
dispute   spór
disrupt   zakłócać
disruption   zakłócenie
dissolve   rozpuszczać się
distinctive   charakterystyczny
distort   zniekształcać
distress   cierpienie
disturbing   niepokojący
divert   przekierować
divine   boski
doctrine   doktryna
documentation   dokumentacja
domain   domena
dominance   dominacja
donor   dawca
dose   dawka
drain   drenaż
drift   dryfować
driving   napęd
glossary   for the provided list:
drown   tonąć
dual   podwójny
dub   dubbingować
dumb   niemy
duo   duet
dynamic   dynamiczny
earningszarobkiease   łatwość
echo   echo
ecological   ekologiczny
educator   edukator
effectiveness   skuteczność
efficiency   wydajność
ego   ego
elaborate   opracować
electoral   wyborczy
elevate   podnieść
eligible   uprawniony
elite   elita
embark   wyruszać
embarrassment   zażenowanie
embassy   ambasada
embed   osadzić
embody   ucieleśniać
emergence   pojawienie się
empirical   empiryczny
empower   upoważniać
enact   uchwalać
encompass   obejmować
endless   nieskończony
endorse   popierać
endorsement   poparcie
endure   znosić
enforce   egzekwować
enforcement   egzekwowanie
engagement   zaangażowanie
engaging   wciągający
enquire   zapytać
enrich   wzbogacać
enrol   zapisać się
ensue   wynikać
enterprise   przedsiębiorstwo
enthusiast   entuzjasta
entitle   uprawniać
entity   jednostka
epidemic   epidemia
equality   równość
equation   równanie
erect   wznosić
escalate   eskalować
establishmentustanowienieeternal   wieczny
evacuate   ewakuować
evoke   wywołać
evolutionary   ewolucyjny
exaggerate   przesadzać
excellence   doskonałość
exceptional   wyjątkowy
excess   nadmiar
exclusion   wykluczenie
exclusive   ekskluzywny
exclusively   wyłącznie
execute   wykonać
execution   egzekucja
exert   wywierać
exile   wygnanie
exit   wyjście
expenditure   wydatki
experimental   eksperymentalny
expire   wygasnąć
explicit   jednoznaczny
explicitly   jawnie
exploitation   eksploatacja
facilitate   ułatwiać
faction   frakcja
faculty   wydział
fade   blaknąć
fairness   sprawiedliwość
fatal   śmiertelny
fate   przeznaczenie
favourable   korzystny
feat   wyczyn
feminist   feministyczny
fibre   włókno
fierce   dziki
film-maker   filmowiec
filter   filtr
fine   grzywna
firearm   broń palna
fit   pasować
fixture   armatura
flaw   wada
flawed   wadliwy
flee   uciekać
flexibility   elastyczność
flourish   rozkwitać
fluid   płyn
footage   materiał filmowy
foreigner   obcokrajowiec
forge   fałszować
formula   formuła
formulate   formułować
forth   naprzód
forthcoming   nadchodzący
foster   sprzyjać
fragile   kruchy
franchise   franczyza
frankly   szczerze
frustrated   sfrustrowany
frustrating   frustrujący
frustration   frustracja
functional   funkcjonalny
fundraising   zbieranie funduszy
funeral   pogrzeb
gallon   galon
gear   bieg
generic   ogólny
genocide   ludobójstwo
glance   rzut oka
glimpse   przebłysk
glorious   chwalebny
glory   chwała
governance   rządzenie
grace   wdzięk
grasp   zrozumienie
grave   grób
gravity   grawitacja
grid   siatka
grief   żal
grin   uśmiech
grind   mielić
grip   chwyt
gross   brutto
guerrilla   partyzantka
guidance   prowadzenie
guilt   winność
gut   jelito
halfwayw   połowie
halt   zatrzymać
handful   garść
handling   obsługa
handy   poręczny
harassment   nękanie
hardware   sprzęt komputerowy
harsh   surowy
harvest   żniwa
hatred   nienawiść
haunt   nawiedzać
hazard   ryzyko
heighten   podwyższyć
heritage   dziedzictwo
high-profile   o dużym znaczeniu
hint   wskazówka
homeland   ojczyzna
hopeful   pełen nadziei
horn   róg
hostile   wrogi
hostility   wrogość
humanity   ludzkość
humble   skromny
hydrogen   wodór
identification   identyfikacja
ideological   ideologiczny
ideology   ideologia
idiot   idiota
ignorance   ignorancja
imagery   obrazowanie
immense   ogromny
imminent   nieuchronny
implementation   wdrożenie
imprison   uwięzić
imprisonment   uwięzienie
inability   niezdolność
inadequate   niewystarczający
inappropriate   nieodpowiedni
incidence   wystąpienie
inclined   skłonny
inclusion   włączenie
indicator   wskaźnik
indictment   oskarżenie
indigenous   rdzenny
induce   wywoływać
indulge   dogadzać
inequality   nierówność
infamous   niesławny
infant   niemowlę
infect   zarażać
inflict   zadawać
influential   wpływowy
inherent   nieodłączny
initiate   inicjować
inject   wstrzykiwać
injection   zastrzyk
injustice   niesprawiedliwość
inmate   więzień
insertion   wstawka
insider   wtajemniczony
inspect   kontrolować
inspection   inspekcja
inspiration   inspiracja
institutional   instytucjonalny
instruct   instruować
instrumental   pomocny
insufficient   niewystarczający
insult   obraza
intact   nietknięty
intake   spożycie
integral   integralny
integrated   zintegrowany
integration   integracja
integrity   integralność
intellectual   intelektualista
intensify   nasilać się
intensity   intensywność
intensive   intensywny
intent   zamiar
interactive   interaktywny
interface   interfejs
interfere   ingerować
interference   ingerencja
interim   tymczasowy
interior   wnętrze
intermediate   pośredni
intervention   interwencja
intimate   intymny
intriguing   intrygujący
investigator   śledczy
invisible   niewidzialny
invoke   przywoływać
involvement   zaangażowanie
ironic   ironiczny
ironically   ironicznie
irony   ironia
irrelevant   nieistotny
isolation   izolacja
judicial   sądowy
junction   skrzyżowanie
jurisdiction   jurysdykcja
just   sprawiedliwy
justification   uzasadnienie
kidnap   porwać
kidney   nerka
kingdom   królestwo
lad   chłopak
landlord   właściciel
landmark   punkt orientacyjny
large-scale   na dużą skalę
laser   laser
latter   ten drugi
lawn   trawnik
lawsuit   proces sądowy
layout   układ
leak   wyciek
leap   skok
legacy   dziedzictwo
legendary   legendarny
legislation   ustawodawstwo
legislative   ustawodawczy
legislature   legislatura
legitimate   legalny
lengthy   długi
lesbian   lesbijka
lesser   mniejszy
lethal   śmiertelny
liable   odpowiedzialny
liberal   liberalny
liberation   wyzwolenie
liberty   wolność
license   licencja
likelihood   prawdopodobieństwo
limb   kończyna
linear   liniowy
line-up   skład
linger   ociągać się
listing   wykaz
literacy   umiejętność czytania i pisania
liver   wątroba
lobby   lobby
log   dziennik
logic   logika
long-standing   długo istniejący
long-time   od dawna
loom   wyłaniać się
loop   pętla
loyalty   lojalność
machinery   maszyny
magical   magiczny
magistrate   sędzia
magnetic   magnetyczny
magnitude   wielkość
mainland   kontynent
mainstream   główny nurt
mandate   mandat
mandatory   obowiązkowy
manifest   manifest
manipulate   manipulować
manipulation   manipulacja
manuscript   rękopis
march   marsz
marginal   marginalny
marine   morski
marketplace   rynek
mask   maska
massacre   masakra
mathematical   matematyczny
mature   dojrzały
maximize   maksymalizować
meaningful   znaczący
meantime   tymczasem
medieval   średniowieczny
meditation   medytacja
melody   melodia
memo   notatka
memoir   wspomnienia
memorial   pomnik
merchant   kupiec
mercy   miłosierdzie
mere   sam
merely   jedynie
merge   łączyć się
merger   fuzja
merit   zasługa
methodology   metodyka
midst   środek
migration   migracja
militant   radykalny
militia   milicja
mill   młyn
minimal   minimalny
minimize   minimalizować
mining   górnictwo
ministry   ministerstwo
minute   minuta
miracle   cud
misery   nędza
misleading   mylący
missile   pocisk rakietowy
mob   tłum
mobilize   mobilizować
moderate   umiarkowany
modification   modyfikacja
momentum   pęd
monk   mnich
monopoly   monopol
morality   moralność
motive   motyw
motorist   kierowca
municipal   miejski
mutual   wzajemny
namely   mianowicie
nationwide   ogólnokrajowy
naval   morski
neglect   zaniedbanie
neighbouring   sąsiedni
nest   gniazdo
net   sieć
newsletter   biuletyn
niche   nisza
noble   szlachetny
nod   skinienie głową
nominate   nominować
nominee   kandydat
nonetheless   niemniej jednak
non-profit   non-profitowy
nonsense   nonsens
noon   południe
notable   godny uwagi
notably   zwłaszcza
notify   zawiadamiać
notorious   notoryczny
novel   powieść
nursery   żłobek
objection   zarzut
oblige   zobowiązać
obsess   obsesyjnie myśleć o
obsession   obsesja
occasional   okazjonalny
occurrence   zdarzenie
odds   szanse
offering   oferta
offspring   potomstwo
operational   operacyjny
opt   wybierać
optical   optyczny
oral   ustny
organizational   organizacyjny
orientation   orientacja
originate   wywodzić się
outbreak   wybuch
outing   wypad
outlet   ujście
outlook   perspektywa
outrage   oburzenie
outsider   obcy
overlook   przeoczyć
overly   nadmiernie
oversee   nadzorować
overturn   obalić
overwhelm   przytłaczać
overwhelming   przytłaczający
pad   podkładka
parameter   parametr
parental   rodzicielski
parish   parafia
parliamentary   parlamentarny
partial   częściowy
partially   częściowo
passive   bierny
pastor   pastor
patch   łata
patent   patent
pathway   ścieżka
patrol   patrolować
patron   patron
peak   szczyt
peasant   chłop
peculiar   osobliwy
persist   trwać
persistent   uporczywy
personnel   personel
petition   petycja
philosopher   filozof
philosophical   filozoficzny
physician   lekarz
pioneer   pionier
pipeline   rurociąg
pirate   pirat
pit   dół
plea   apelacja
plead   błagać
plug   wtyczka
plunge   spadać gwałtownie
pole   słup
poll   sondaż
pond   staw
pop   popularny
portfolio   portfel
portray   przedstawiać
postpone   odłożyć
post-war   powojenny
practitioner   praktyk
preach   nauczać
precedent   precedens
precision   precyzja
predator   drapieżnik
predecessor   poprzednik
predominantly   przeważnie
pregnancy   ciąża
prejudice   uprzedzenie
preliminary   wstępny
premier   premier
premise   założenie
premium   składka
prescription   recepta
presently   obecnie
preservation   ochrona
preside   przewodniczyć
presidency   prezydentura
presidential   prezydencki
prestigious   prestiżowy
presumably   przypuszczalnie
presume   przypuszczać
prevail   przeważać
prevalence   powszechność
prevention   zapobieganie
prey   zdobycz
principal   dyrektor
privatization   prywatyzacja
privilege   przywilej
probe   sonda
problematic   problematyczny
proceedings   postępowanie
proceeds   dochód
processing   przetwarzanie
processor   procesor
proclaim   ogłaszać
productivity   wydajność
profitable   dochodowy
profound   głęboki
projection   projekcja
prominent   wybitny
pronounced   wyraźny
propaganda   propaganda
proposition   propozycja
prosecute   oskarżać
prosecution   oskarżenie
prosecutor   prokurator
prospective   przyszły
prosperity   dobrobyt
protective   ochronny
protocol   protokół
province   prowincja
provincial   prowincjonalny
provision   postanowienie
provoke   prowokować
psychiatric   psychiatryczny
pulse   puls
pump   pompa
queryzapytaniequest   poszukiwanie
quota   kwota
radar   radar
radical   radykalny
rage   wściekłość
raid   nalot
rally   wiec
ranking   ranking
rape   gwałt
ratio   stosunek
rational   racjonalny
ray   promień
readily   łatwo
realization   realizacja
realm   królestwo
rear   tył
reasoning   rozumowanie
reassure   uspokajać
rebel   buntować się
rebellion   rebelia
recipient   odbiorca
reconstruction   rekonstrukcja
referendumreferendumreflection   refleksja
reform   reforma
refuge   schronienie
refusal   odmowa
regain   odzyskać
regardless   bez względu na
regime   reżim
regulator   regulator
regulatory   regulacyjny
rehabilitation   rehabilitacja
reign   panowanie
rejection   odrzucenie
relevance   znaczenie
reliability   niezawodność
reluctant   niechętny
remainder   reszta
remains   pozostałości
remedy   środek zaradczy
reminder   przypomnienie
removal   usunięcie
render   dostarczyć
renew   odnowić
rentalwynajemreplacement   zastępstwo
reportedly   rzekomo
representation   reprezentacja
reproduce   reprodukować
reproduction   reprodukcja
republic   republika
resemble   przypominać
reside   mieszkać
residence   miejsce zamieszkania
residential   mieszkalny
residue   pozostałość
resignation   rezygnacja
resistance   opór
respective   odpowiedni
respectively   odpowiednio
restoration   restytucja
restraint   powściągliwość
resume   wznowić
retreat   odwrót
retrieve   odzyskać
revelation   objawienie
revenge   zemsta
revivalodrodzenierevive   wskrzesić
revolutionary   rewolucyjny
rhetoric   retoryka
rifle   karabin
riot   zamieszki
rip   rozerwanie
ritual   rytuał
robust   solidny
rock   skała
rod   pręt
rotate   obracać
rotation   rotacja
ruling   orzeczenie
rumour   plotka
sack   wyrzucić
sacred   święty
sacrifice   poświęcenie
saint   święty
sake   wzgląd
sanction   sankcja
say   powiedzieć
scattered   rozproszony
scopezakresscrew   śruba
scrutiny   analiza
seal   pieczęć
secular   świecki
seemingly   pozornie
segment   segment
seize   chwycić
seldom   rzadko
selective   wybiórczy
senator   senator
sensation   sensacja
sensitivity   wrażliwość
sentiment   sentyment
separation   separacja
serial   serial
settlement   osada
set-up   konfiguracja
sexuality   seksualność
shareholder   akcjonariusz
shatter   roztrzaskać
shed   szopa
sheer   czysty
shrug   wzruszyć ramionami
sigh   westchnienie
simulate   symulować
simulation   symulacja
simultaneously   jednocześnie
sin   grzech
situated   położony
sketch   szkic
skip   pominąć
slam   trzasnąć
slap   uderzyć
slash   ciąć
slavery   niewolnictwo
slot   otwór
smash   rozbić
snap   trzasnąć
soak   namoczyć
soar   gwałtownie wzrosnąć
socialist   socjalistyczny
sole   podeszwa
solely   wyłącznie
sound   dźwięk
sovereignty   suwerenność
spam   spam
span   rozpiętość
spare   wolny
spark   iskra
specialized   wyspecjalizowany
specification   specyfikacja
specimen   okaz
spectacle   widowisko
spectrum   spektrum
spell   zaklęcie
sphere   sfera
spin   obrót
spine   kręgosłup
spotlight   reflektor
spouse   małżonek
spy   szpieg
squad   oddział
squeeze   ścisk
stab   dźgnąć
standing   stojący
stark   surowy
statistical   statystyczny
steer   kierować
stem   trzon
stereotype   stereotyp
stimulus   bodziec
stir   wzburzenie
storage   przechowywanie
straightforward   bezpośredni
strain   napięcie
strand   pasmo
strategic   strategiczny
striking   uderzający
strip   pasek
strive   dążyć
structural   strukturalny
stumble   potknąć się
stun   ogłuszyć
submission   poddanie się
subscriber   subskrybent
substantial   znaczny
substantially   znacząco
substitute   zamiennik
substitution   substytucja
subtle   subtelny
suburban   podmiejski
succession   sukcesja
successive   kolejny
successor   następca
suck   ssać
sue   pozwać
suicide   samobójstwo
suite   apartament
summit   szczyt
superb   znakomity
superior   wyższy
supervise   nadzorować
supervision   nadzór
supervisor   nadzorca
supplement   dodatek
supportive   wspierający
supposedly   rzekomo
surge   wzrost
surgical   chirurgiczny
surplus   nadmiar
surrender   poddać się
surveillance   nadzór
suspension   zawieszenie
suspicion   podejrzenie
suspicious   podejrzliwy
sustain   podtrzymywać
sword   miecz
symbolic   symboliczny
syndrome   zespół
synthesis   synteza
systematic   systematyczny
tackle   uporać się
tactic   taktyka
tactical   taktyczny
taxpayer   podatnik
tempt   kusić
tenant   najemca
tender   przetarg
terminate   zakończyć
terrain   teren
terrific   niesamowity
testify   zeznawać
testimony   zeznanie
texture   tekstura
thankfully   dzięki Bogu
theatrical   teatralny
theology   teologia
theoretical   teoretyczny
thereafter   następnie
thereby   w ten sposób
thoughtful   troskliwy
thought-provoking   skłaniający do refleksji
thread   wątek
threshold   próg
thrilled   podekscytowany
thrive   dobrze się rozwijać
tide   przypływ
tighten   zaciskać
timber   drewno
timely   w porę
tolerance   tolerancja
tolerate   tolerować
toll   opłata
top   szczyt
torture   tortury
toss   rzucać
total   całkowity
toxic   toksyczny
trace   ślad
trademark   znak towarowy
trail   ślad
trailer   przyczepa
transaction   transakcja
transcript   transkrypt
transformation   transformacja
transit   przejazd
transmission   transmisja
transparency   przejrzystość
transparent   przezroczysty
trauma   trauma
treaty   traktat
tremendous   ogromny
tribal   plemienny
trigger   wyzwalacz
trio   trio
triumph   triumf
trophy   trofeum
troubled   zaniepokojony
trustee   członek zarządu
tuition   czesne
turnout   frekwencja
turnover   obrót
twist   skręt
undergraduate   student studiów licencjackich
underlying   zasadniczy
undermine   podważać
undoubtedly   niewątpliwie
unify   zjednoczyć
unprecedented   bezprecedensowy
unveil   ujawnić
upcoming   nadchodzący
upgrade   aktualizacja
uphold   podtrzymać
utility   użyteczność
utilize   wykorzystać
vacuum   próżnia
vague   niejasny
validity   ważność
vanish   znikać
variable   zmienna
varied   zróżnicowany
vein   żyła
venture   przedsięwzięcie
verbal   werbalny
verdict   werdykt
verify   weryfikować
verse   zwrotka
versus   przeciwko
vessel   statek
veteran   weteran
viable   wykonalny
vibrant   dynamiczny
vice   wada
vicious   złośliwy
villager   mieszkaniec wsi
violate   naruszyć
violation   naruszenie
virtue   cnota
vow   przysięga
vulnerability   podatność
vulnerable   wrażliwy
ward   oddział
warehouse   magazyn
warfare   działania wojenne
warrant   nakaz
warrior   wojownik
weaken   osłabić
weave   tkać
weed   chwast
well   studnia
well-being   dobrostan
whatsoever   cokolwiek
whereby   w wyniku czego
whilst   podczas gdy
whip   bicz
wholly   całkowicie
widen   poszerzyć
widow   wdowa
width   szerokość
willingness   chęć
wipe   wytrzeć
withdrawal   wycofanie
workout   trening
worship   wielbić
worthwhile   wart zachodu
worthy   godny
yell   krzyczeć
yield   wydajność
